,Title,Type,Company,CTC,Location,Exp
170,CyberArk,No data,Jio,Competitive salary,Mumbai,7-10 years
171,Oracle Taleo Functional Consultant,No data,Strategic Resources International Inc,Competitive salary,Chennai,7-10 years
172,Dyntrace Admin,No data,Strategic Resources International Inc,Competitive salary,Chennai,7-10 years
173,Technical Customer Support,Fresher  Job,Mazenet Solution,"₹ 3,00,000 - 3,50,000",Hyderabad,0-1 years
175,Technical Content Writer,No data,NETSACH GLOBAL,Competitive salary,Gurgaon,4-6 years
176,Ansible Developer,No data,Jio,Competitive salary,Gurgaon,7-10 years
177,System Network Administrator,No data,Xomic Infotech Private Limited,"₹ 2,50,000 - 3,00,000",Ahmedabad,1-3 years
179,DotNet Developer,No data,NETSACH GLOBAL,Competitive salary,Bangalore,4-6 years
180,Java Full Stack Developer,No data,Rohini IT Consulting LLP,Competitive salary,Bangalore,4-6 years
181,Application Jio ID - KT,No data,Jio,Competitive salary,Thane,4-6 years
182,Security Operations (IAM)  (Third Party Role),No data,Jio,Competitive salary,Mumbai,4-6 years
183,Technical Business Analyst,No data,Mazenet Solution,"₹ 20,00,000 - 23,00,000",Chennai,7-10 years
184,Telesales Executive,No data,Textspeed,Competitive salary,Chennai,1-3 years
185,IOS Developer,No data,HRingZa Solutions,"₹ 3,00,000 - 4,80,000",Rajkot,1-3 years
186,Inriver Implementation Team Lead,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Hyderabad,7-10 years
187,APAC Data Steward,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Hyderabad,7-10 years
188,Junior Odoo Developer,No data,Biztechnovations Private Limited,Competitive salary,Coimbatore,1-3 years
189,Pricing Scientist,No data,Velocity Tech Inc,Competitive salary,Work from home,7-10 years
190,Senior Java Software Engineer,No data,Chiselon Technologies Pvt Ltd,"₹ 5,00,000 - 12,00,000",Pune,4-6 years
191,Platform Engineer With Python,No data,Velocity Tech Inc,Competitive salary,Seattle (United States),7-10 years
192,Application Support - Finacle Treasury,No data,CapTalent HR,"₹ 3,00,000 - 6,00,000",Vashi,1-3 years
193,IT-Project Coordinator,No data,5kWebTech IT Solutions,Competitive salary,Mohali,1-3 years
194,Data Scientist,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Guntur,4-6 years
195,SAP SD Consultant,No data,Ahvi Infotech,"₹ 10,00,000 - 15,00,000",Chennai,4-6 years
196,React Native,No data,5kWebTech IT Solutions,Competitive salary,Mohali,1-3 years
197,Application Support - Finacle Treasury,No data,CapTalent HR,"₹ 3,00,000 - 8,00,000",Vashi,4-6 years
198,AEM Asset,No data,Orcapod Consulting Services Private Limited,"₹ 5,00,000 - 30,00,000",No data,7-10 years
199,AEM Forms,No data,Orcapod Consulting Services Private Limited,"₹ 5,00,000 - 30,00,000",No data,7-10 years
200,Technical Sales Support Specialist,No data,Velocity Tech Inc,Competitive salary,Canton (United States),4-6 years
201,Taleo,No data,ZenithCad,Competitive salary,Hyderabad,7-10 years
202,React Developer With Dot Net Core,No data,Velocity Tech Inc,Competitive salary,Seattle (United States),7-10 years
203,GraphQL Engineer,No data,Velocity Tech Inc,Competitive salary,Seattle (United States),7-10 years
204,SAP Co Consultant,No data,INTINERI INFOSOL PRIVATE LIMITED,"₹ 11,00,000 - 25,00,000",Bangalore,7-10 years
